time	event	lat	lng	x	y	accuracy
1425807601905	gps	52.8918394446373	-1.1565909069031477	-128751.11081258889	6928916.392419561	15
1425807603554	gps	52.89162402972579	-1.1563650146126747	-128725.96459783931	6928876.743355317	20
1425807604556	gps	52.89164540357888	-1.1564281303435564	-128732.99060886209	6928880.677397592	20
1425807605536	gps	52.89166518487036	-1.1564258672297	-128732.73868018	6928884.318316881	25
1425807606635	gps	52.891686810180545	-1.1564204189926386	-128732.1321852046	6928888.298645813	25
1425807607643	gps	52.891696114093065	-1.156401140615344	-128729.98612606086	6928890.011113527	25
1425807608643	gps	52.891714721918106	-1.1563945189118385	-128729.24900139844	6928893.43605006	30
1425807609548	gps	52.89174229837954	-1.156402062624693	-128730.08876367207	6928898.51174701	30
1425807610540	gps	52.89176216349006	-1.1564070917665958	-128730.64860518785	6928902.1681021415	30
1425807611550	gps	52.89178529754281	-1.1564200837165117	-128732.09486243688	6928906.426138089	30
1425807612558	gps	52.891810233704746	-1.1564492527395487	-128735.3419432283	6928911.015871422	30
1425807613581	gps	52.89183516986668	-1.1564529407769442	-128735.75249367318	6928915.60560741	30
1425807614588	gps	52.891860022209585	-1.1564609035849571	-128736.63890940648	6928920.1799183525	30
1425807615585	gps	52.891875403001904	-1.1564639210700989	-128736.97481431592	6928923.01090132	30
1425807616589	gps	52.89188738912344	-1.1564582213759422	-128736.34032726473	6928925.217063133	30
1425807617589	gps	52.89188948459923	-1.1564578022807837	-128736.29367380509	6928925.60275582	30
1425807618629	gps	52.89188608992845	-1.1564705427736044	-128737.71193897833	6928924.977933676	30
1425807619581	gps	52.891918905079365	-1.1565073393285275	-128741.80811273532	6928931.017883132	30
1425807620572	gps	52.89193684235215	-1.1565287131816149	-128744.1874391773	6928934.319415556	30
1425807621574	gps	52.891937722451985	-1.1565498355776072	-128746.5387735435	6928934.481406669	25
1425807622576	gps	52.89193466305733	-1.156558720394969	-128747.527826888	6928933.918294721	25
1425807623578	gps	52.891930430196226	-1.1565744783729315	-128749.28199697072	6928933.139194695	25
1425807624612	gps	52.89192866999656	-1.156598199158907	-128751.92258278673	6928932.81521253	25
1425807625580	gps	52.891926490701735	-1.1566130351275206	-128753.57411525823	6928932.41409177	25
1425807626571	gps	52.89191932417452	-1.1566262785345316	-128755.04836458307	6928931.095021724	25
1425807627572	gps	52.891913121566176	-1.1566331516951323	-128755.81348132127	6928929.953370633	25
1425807628570	gps	52.89191148709506	-1.1566438805311918	-128757.00780988822	6928929.65253017	25
1425807629577	gps	52.89190985262394	-1.1566524300724268	-128757.95954046502	6928929.35168972	25
1425807630613	gps	52.89192175492644	-1.1566742230206728	-128760.38552036665	6928931.542425576	25
1425807631605	gps	52.89191680960357	-1.1566603928804398	-128758.8459561983	6928930.632190181	25
1425807632608	gps	52.89191194809973	-1.1566628236323595	-128759.11654626425	6928929.7373826085	25
1425807633615	gps	52.89190365001559	-1.1566691100597382	-128759.81634815896	6928928.210038881	25
1425807634611	gps	52.89190365001559	-1.1566691100597382	-128759.81634815896	6928928.210038881	25
1425807635612	gps	52.89190365001559	-1.1566691100597382	-128759.81634815896	6928928.210038881	25
1425807636614	gps	52.89190365001559	-1.1566691100597382	-128759.81634815896	6928928.210038881	25
1425807637618	gps	52.891913121566176	-1.1566882207989693	-128761.94374591885	6928929.953370633	25
1425807638620	gps	52.8919229703024	-1.15669216029346	-128762.38228843952	6928931.76612751	25
1425807639620	gps	52.89192934054881	-1.1566943395882845	-128762.62488642968	6928932.938634305	25
1425807640626	gps	52.891929717734456	-1.1566986981779337	-128763.11008241001	6928933.008059056	25
1425807641626	gps	52.89192636497319	-1.156706577166915	-128763.98716745137	6928932.39095019	25
1425807642626	gps	52.89192732889205	-1.1566874664276838	-128761.85976969148	6928932.568368983	25
1425807643627	gps	52.89192359894514	-1.1566727980971336	-128760.22689860385	6928931.881835409	25
1425807644629	gps	52.89191706106067	-1.156666511669755	-128759.52709670915	6928930.678473334	20
1425807645631	gps	52.89190549403429	-1.1566469818353653	-128757.35304548961	6928928.549448573	25
1425807646634	gps	52.89190197363496	-1.15664379671216	-128756.9984791963	6928927.901484628	25
1425807647637	gps	52.891902811825275	-1.1566674336791039	-128759.62973432038	6928928.055761753	25
1425807648637	gps	52.8919197851792	-1.156685370951891	-128761.62650239325	6928931.179874177	25
1425807649646	gps	52.89192028809339	-1.156687131151557	-128761.82244692376	6928931.27244049	25
1425807650560	gps	52.89192188065499	-1.1566819343715906	-128761.24394402414	6928931.565567154	25
1425807651649	gps	52.8919248143211	-1.1566695291548967	-128759.86300161859	6928932.105537354	25
1425807652557	gps	52.8919248143211	-1.1566695291548967	-128759.86300161859	6928932.105537354	25
1425807653561	gps	52.8919248143211	-1.1566695291548967	-128759.86300161859	6928932.105537354	25
1425807656564	gps	52.891912828199565	-1.1566341575235128	-128755.92544962442	6928929.899373626	25
1425807657570	gps	52.89191936608404	-1.1566249374300241	-128754.8990735122	6928931.102735585	25
1425807658576	gps	52.89192238356918	-1.1566263623535633	-128755.05769527498	6928931.658133471	25
1425807659569	gps	52.89192414376885	-1.1566443834453821	-128757.06379403979	6928931.982115592	25
1425807660578	gps	52.89192414376885	-1.1566443834453821	-128757.06379403979	6928931.982115592	25
1425807661572	gps	52.89192615542561	-1.1566162202507257	-128753.92868155154	6928932.352380886	25
1425807662573	gps	52.89192883763462	-1.1566024739295244	-128752.39844807512	6928932.8460679725	25
1425807663577	gps	52.891932777129114	-1.1565963551402092	-128751.7173075643	6928933.571170938	25
1425807664577	gps	52.89193470496684	-1.1565963551402092	-128751.7173075643	6928933.926008584	25
1425807665580	gps	52.89192485623062	-1.1565776634961367	-128749.63656326405	6928932.113251214	25
1425807666583	gps	52.89190771523863	-1.1565619893372059	-128747.89172387327	6928928.958282993	25
1425807667585	gps	52.89190771523863	-1.1565619893372059	-128747.89172387327	6928928.958282993	25
1425807668589	gps	52.89190771523863	-1.1565619893372059	-128747.89172387327	6928928.958282993	25
1425807669589	gps	52.89190771523863	-1.1565619893372059	-128747.89172387327	6928928.958282993	25
1425807670595	gps	52.89190771523863	-1.1565619893372059	-128747.89172387327	6928928.958282993	25
1425807671594	gps	52.89190771523863	-1.1565619893372059	-128747.89172387327	6928928.958282993	25
1425807672601	gps	52.89190771523863	-1.1565619893372059	-128747.89172387327	6928928.958282993	25
1425807673638	gps	52.89190163835883	-1.1565179843455553	-128742.99311061035	6928927.839773778	25
1425807674612	gps	52.891925065778196	-1.1565829440951347	-128750.22439685558	6928932.151820515	25
1425807675614	gps	52.891975650563836	-1.1567600537091494	-128769.9401489023	6928941.462455359	25
1425807676615	gps	52.8919974854216	-1.1568364966660738	-128778.44973994186	6928945.481382307	25
1425807677618	gps	52.89199958089739	-1.1568525899201632	-128780.2412327923	6928945.867075978	25
1425807678632	gps	52.89200284983963	-1.1568541824817657	-128780.41851593895	6928946.468758145	25
1425807679634	gps	52.891993881203234	-1.1568526737391949	-128780.25056348421	6928944.817989236	20
1425807680638	gps	52.8919826913625	-1.15685879252851	-128780.93170399507	6928942.758385517	20
1425807681639	gps	52.89197183679789	-1.1568640731275082	-128781.5195375866	6928940.76049328	20
1425807682639	gps	52.89195964112878	-1.1568572837859392	-128780.76375154033	6928938.515757816	20
1425807683642	gps	52.89194970857352	-1.156843202188611	-128779.1961952962	6928936.687571669	15
1425807684649	gps	52.89193705189973	-1.1568251810967922	-128777.1900965314	6928934.357984869	15
1425807685646	gps	52.891928418539464	-1.1568167991936207	-128776.25702733845	6928932.768929364	15
1425807686649	gps	52.89192100055516	-1.1568132787942886	-128775.86513827743	6928931.403576102	15
1425807687655	gps	52.891911529004574	-1.15680992603302	-128775.49191060025	6928929.660244029	15
1425807688656	gps	52.89189983624965	-1.1568053998053074	-128774.98805323607	6928927.508077973	15
1425807689662	gps	52.89188881404698	-1.1568042263388634	-128774.85742354905	6928925.47933416	15
1425807690677	gps	52.89187678601593	-1.1568044777959585	-128774.88541562484	6928923.265458421	10
1425807691668	gps	52.8918642969802	-1.1568040587008	-128774.83876216521	6928920.966730957	10
1425807692670	gps	52.891851221211255	-1.1568003706634045	-128774.42821172031	6928918.560010299	10
1425807693671	gps	52.8918368043378	-1.1568023823201656	-128774.6521483266	6928915.906447341	10
1425807694673	gps	52.89182293228805	-1.1568038072437048	-128774.8107700894	6928913.353165216	10
1425807695676	gps	52.89180935360491	-1.1568048130720854	-128774.92273839256	6928910.853880789	10
